Date,APOLLOHOSP,AXISBANK,BAJAJ_AUTO,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,ICICIBANK,INFY,JSWSTEEL,KOTAKBANK,MARUTI,SBIN,SUNPHARMA,TATASTEEL,TCS,TECHM,VEDL,WIPRO
2022-02-08,4345.36865234375,795.2295532226562,3129.120361328125,918.1991577148438,114.61766052246094,4166.3916015625,841.4915771484375,2483.86865234375,988.6857299804688,695.3106689453125,2278.09912109375,511.9154052734375,768.740478515625,1541.630126953125,630.9737548828125,362.22723388671875,8294.5869140625,494.81201171875,853.2468872070312,107.3421859741211,3326.287353515625,1248.37548828125,195.68917846679688,259.2286071777344
2022-02-09,4520.93115234375,800.507568359375,3224.025634765625,937.7631225585938,120.81612396240234,4216.94287109375,850.6036376953125,2518.884033203125,1004.8102416992188,712.314697265625,2326.6123046875,526.9774169921875,778.731689453125,1559.584228515625,633.7935791015625,365.6546630859375,8632.1787109375,498.4438171386719,852.6217041015625,107.584228515625,3341.482421875,1266.3065185546875,199.50279235839844,263.2541198730469
2022-02-10,4534.166015625,806.432861328125,3229.2734375,944.3489379882812,120.4220199584961,4201.65087890625,850.9832763671875,2532.98681640625,1012.85107421875,725.3947143554688,2331.0888671875,531.7875366210938,781.3507690429688,1588.580078125,642.8744506835938,372.0710144042969,8493.28515625,503.3794250488281,860.1722412109375,109.87258911132812,3350.1904296875,1278.2315673828125,201.01235961914062,265.4288635253906
2022-02-11,4459.34814453125,800.4578247070312,3226.83056640625,928.320068359375,119.31131744384766,4179.73583984375,842.1632690429688,2492.50244140625,990.1749877929688,722.4220581054688,2317.873291015625,527.3661499023438,767.0914306640625,1545.265869140625,641.7752075195312,364.3095397949219,8427.40625,493.1823425292969,846.5140380859375,110.40947723388672,3283.19287109375,1240.280517578125,200.24436950683594,259.78387451171875
2022-02-14,4431.14990234375,770.1343994140625,3155.62890625,924.83349609375,115.83586883544922,4166.732421875,818.643310546875,2466.2646484375,975.496826171875,700.9469604492188,2258.106201171875,506.5222473144531,731.1036987304688,1510.12060546875,598.9041748046875,348.0892333984375,8069.798828125,466.9215393066406,831.845947265625,104.459716796875,3317.668701171875,1210.0330810546875,191.47824096679688,250.64552307128906
2022-02-15,4606.0205078125,793.6362915039062,3247.231689453125,892.8240356445312,117.2690200805664,4213.3876953125,832.8467407226562,2613.235107421875,994.3017578125,721.9226684570312,2369.07177734375,518.76611328125,752.7836303710938,1560.43701171875,612.3820190429688,361.2906799316406,8317.01171875,488.71240234375,843.3399658203125,106.2992172241211,3392.352294921875,1253.1195068359375,197.01333618164062,260.6629638671875
2022-02-16,4528.3876953125,793.7359008789062,3245.151123046875,903.7197875976562,117.41234588623047,4349.11669921875,840.420654296875,2596.39892578125,993.6634521484375,720.947509765625,2376.020263671875,514.3447265625,741.1433715820312,1555.993408203125,609.848876953125,364.66827392578125,8278.671875,481.16943359375,835.6932983398438,104.8953857421875,3388.17626953125,1256.9058837890625,194.44442749023438,260.91754150390625
2022-02-17,4508.53564453125,779.545166015625,3254.560302734375,898.9741821289062,116.83908081054688,4326.76318359375,837.4125366210938,2612.035888671875,989.6218872070312,716.5479125976562,2381.690185546875,517.5028686523438,727.8541259765625,1548.36279296875,610.0401611328125,362.1275939941406,8249.2529296875,477.6773376464844,829.6337280273438,104.8205795288086,3362.4970703125,1259.9957275390625,195.42431640625,261.38018798828125
2022-02-18,4416.53173828125,784.1259765625,3286.08984375,880.4754638671875,119.8845443725586,4240.2705078125,841.3358154296875,2589.49169921875,991.2811889648438,719.3303833007812,2365.14990234375,514.63623046875,726.4475708007812,1532.3388671875,604.9261474609375,363.9708251953125,8265.3125,479.86572265625,829.970458984375,104.807373046875,3371.11572265625,1251.6396484375,192.8024139404297,260.24658203125
2022-02-21,4372.18408203125,785.5699462890625,3238.456298828125,878.6837768554688,119.0720443725586,4147.6416015625,836.8771362304688,2589.251708984375,991.068359375,723.9678344726562,2364.540283203125,497.5335693359375,731.8312377929688,1553.6593017578125,595.6063232421875,364.0804443359375,8307.3681640625,476.6529541015625,811.6473388671875,104.0196533203125,3304.91796875,1234.4488525390625,187.47914123535156,264.1101379394531
2022-02-22,4519.7451171875,775.9103393554688,3257.63623046875,884.6401977539062,118.11176300048828,4115.01220703125,821.3497314453125,2614.67431640625,978.1350708007812,718.5455322265625,2379.920654296875,501.6148681640625,728.7756958007812,1556.9359130859375,594.554931640625,366.99969482421875,8317.109375,464.1278076171875,813.5230102539062,100.22183990478516,3186.7392578125,1229.5308837890625,185.43988037109375,261.0331726074219
2022-02-23,4554.068359375,773.9684448242188,3239.179931640625,886.0929565429688,117.07767486572266,4072.935546875,817.9326782226562,2596.590576171875,981.0704956054688,713.8843383789062,2327.328857421875,504.0442810058594,722.2765502929688,1564.56640625,587.5770263671875,375.837158203125,8390.4619140625,464.4071960449219,808.184814453125,100.24823760986328,3166.657958984375,1230.18359375,186.5522003173828,262.39813232421875
2022-02-24,4328.0341796875,727.2633666992188,3147.440673828125,867.5942993164062,110.79904174804688,3834.3505859375,796.8172607421875,2510.72998046875,934.7396850585938,675.119873046875,2170.250732421875,503.0239562988281,686.1917724609375,1506.4849853515625,544.22802734375,357.6540832519531,7919.087890625,440.1485290527344,787.0243530273438,94.52731323242188,3022.577880859375,1160.2877197265625,179.05731201171875,248.54025268554688
2022-02-25,4576.439453125,754.8980712890625,3174.130126953125,894.5674438476562,120.73401641845703,4030.809326171875,813.191650390625,2521.522216796875,961.2446899414062,692.5757446289062,2229.5087890625,518.8148193359375,708.1627807617188,1521.252197265625,572.1873779296875,369.97869873046875,8059.86328125,449.7402648925781,799.8167114257812,100.80712890625,3128.405029296875,1209.64111328125,192.0608673095703,256.9151306152344
2022-02-28,4743.70556640625,739.3131103515625,3193.989013671875,895.92333984375,125.2398452758789,4154.16796875,791.1514282226562,2484.492431640625,958.905029296875,678.3779907226562,2209.509521484375,557.538818359375,720.4334716796875,1540.10400390625,599.7644653320312,367.19891357421875,8019.4013671875,449.9730529785156,811.6953735351562,107.44338989257812,3158.12744140625,1227.3111572265625,201.4361114501953,257.16961669921875
2022-03-02,4801.4365234375,747.1304931640625,3050.99755859375,894.0347290039062,136.5044403076172,4052.772705078125,750.21533203125,2406.1142578125,949.205078125,653.6448364257812,2114.39111328125,583.1443481445312,693.4183959960938,1528.6134033203125,616.1576538085938,359.87591552734375,7537.1748046875,441.6384582519531,789.5731811523438,113.4811782836914,3150.974853515625,1213.68896484375,205.1438751220703,256.8919982910156
2022-03-03,4857.291015625,734.5829467773438,2982.96240234375,905.4631958007812,139.5698699951172,4052.335205078125,724.06689453125,2311.523681640625,969.7536010742188,652.0990600585938,2106.635009765625,589.1691284179688,677.3646240234375,1544.8170166015625,625.8120727539062,357.135986328125,7326.2763671875,435.259521484375,789.5731811523438,114.70897674560547,3149.419677734375,1241.803955078125,209.72557067871094,263.53179931640625
2022-03-04,4688.83984375,712.0270385742188,2933.202880859375,901.8796997070312,133.697509765625,3988.293212890625,745.4451293945312,2244.130126953125,968.68994140625,649.9586181640625,2014.1748046875,567.3048706054688,667.4219360351562,1547.01611328125,604.06591796875,349.1453552246094,6990.37255859375,430.1842956542969,797.9893188476562,112.40299987792969,3131.60400390625,1265.2620849609375,197.7813262939453,266.19232177734375
2022-03-07,4606.9599609375,664.7742309570312,2926.46240234375,911.5164184570312,139.3852081298828,3969.056396484375,733.9091186523438,2167.766845703125,982.0914916992188,630.1245727539062,1916.0496826171875,602.2390747070312,634.1502685546875,1561.8734130859375,609.0364379882812,341.1248779296875,6529.0771484375,410.02301025390625,791.2564086914062,113.70561981201172,3096.550048828125,1239.584228515625,205.19683837890625,264.5959777832031
2022-03-08,4664.14697265625,667.6124877929688,3001.05712890625,939.0221557617188,139.71759033203125,4056.035888671875,753.2138061523438,2164.313232421875,1000.045166015625,631.551513671875,1962.192626953125,573.2811279296875,645.06298828125,1596.30029296875,602.0585327148438,343.356689453125,6565.00634765625,410.02301025390625,822.371826171875,111.73409271240234,3198.779296875,1272.530029296875,201.99229431152344,271.81414794921875
2022-03-09,4652.986328125,671.3966674804688,3020.870361328125,950.6444091796875,137.87095642089844,4124.02197265625,765.2658081054688,2199.808837890625,1006.3419189453125,652.17041015625,1996.0487060546875,571.434814453125,647.4395751953125,1627.854736328125,599.4776611328125,346.5449523925781,6777.73779296875,420.6391296386719,835.1162719726562,110.48870086669922,3227.790771484375,1309.78466796875,203.5825958251953,270.9118957519531
2022-03-10,4711.01318359375,692.0603637695312,3096.279296875,955.97119140625,132.18324279785156,4189.134765625,757.8768310546875,2209.35400390625,1014.3825073242188,662.4203491210938,2022.40966796875,577.0223388671875,656.3152465820312,1639.12109375,622.036376953125,349.5837707519531,6956.130859375,436.4701232910156,836.3665771484375,115.18424987792969,3217.439453125,1292.898193359375,207.4211883544922,272.1842956542969
2022-03-11,4794.3740234375,687.9774169921875,3096.866943359375,1011.07958984375,134.25149536132812,4226.63427734375,774.0565795898438,2197.602294921875,1015.4887084960938,664.3704833984375,2031.516845703125,572.455078125,657.5762939453125,1635.6199951171875,640.1979370117188,351.30743408203125,6850.75390625,438.0066833496094,867.5783081054688,114.56815338134766,3198.068115234375,1294.16064453125,207.39376831054688,271.2357482910156
2022-03-14,4862.92138671875,707.0975952148438,3123.601806640625,1015.6316528320312,133.21739196777344,4279.62060546875,770.4935302734375,2219.47509765625,1023.487060546875,686.130859375,2040.8409423828125,574.1071166992188,675.2791137695312,1697.292236328125,635.5142211914062,356.4385681152344,7057.3603515625,451.7889709472656,858.2003784179688,114.15447998046875,3237.0322265625,1308.261474609375,206.07763671875,276.7650451660156
2022-03-15,4753.7314453125,695.2471313476562,3124.958740234375,1034.4207763671875,127.71434783935547,4272.26708984375,759.3079223632812,2211.5126953125,1001.364013671875,677.307861328125,2020.3619384765625,543.9343872070312,676.443115234375,1651.1502685546875,612.8599243164062,345.4788513183594,7157.04638671875,452.44085693359375,857.623291015625,108.58758544921875,3193.403564453125,1269.6141357421875,196.1521759033203,271.9298400878906
2022-03-16,4882.822265625,720.8401489257812,3229.6806640625,1022.556640625,130.66900634765625,4287.85107421875,767.864990234375,2262.021484375,1020.6365966796875,688.7943725585938,2064.892822265625,556.5185546875,686.7738037109375,1696.125244140625,626.3377685546875,350.8092346191406,7220.41748046875,458.8663635253906,855.2667236328125,111.36003112792969,3248.49365234375,1296.8587646484375,204.7341766357422,276.811279296875
2022-03-17,4780.349609375,736.1761474609375,3302.646484375,1015.4863891601562,130.41050720214844,4387.2978515625,787.0140380859375,2337.857421875,1018.4244995117188,703.9673461914062,2108.813720703125,560.5026245117188,698.5110473632812,1664.885009765625,654.8706665039062,362.6656799316406,7420.271484375,467.3871765136719,876.8118896484375,114.72217559814453,3263.466796875,1299.9923095703125,207.5308380126953,278.17626953125
2022-03-21,4708.74169921875,722.8817749023438,3247.09619140625,1017.2295532226562,134.65777587890625,4340.44775390625,779.7710571289062,2282.02392578125,993.87646484375,707.03515625,2084.10791015625,573.2811279296875,689.44140625,1663.49365234375,651.2383422851562,354.1170959472656,7432.376953125,456.86419677734375,878.9279174804688,114.67817687988281,3222.54833984375,1288.0675048828125,219.37562561035156,277.62103271484375
2022-03-22,4620.0458984375,728.3588256835938,3308.07470703125,1000.0868530273438,135.43336486816406,4332.9482421875,784.7164916992188,2283.60693359375,1000.981201171875,710.6737670898438,2112.08154296875,576.6821899414062,696.6680297851562,1694.3297119140625,665.7677001953125,360.2445373535156,7491.31005859375,459.7510070800781,879.2164916992188,114.59455871582031,3288.524169921875,1338.900634765625,221.569091796875,282.2712097167969
2022-03-23,4551.50048828125,723.7282104492188,3258.360107421875,982.5084228515625,135.2117919921875,4435.2197265625,803.5928955078125,2296.75,1004.64013671875,703.5867309570312,2086.809814453125,591.2584228515625,696.7650146484375,1680.8642578125,673.3192138671875,352.6524658203125,7373.8291015625,456.9107666015625,866.424072265625,117.14698028564453,3298.698486328125,1342.3388671875,224.0915985107422,282.8033142089844
2022-03-24,4571.599609375,719.2468872070312,3242.43701171875,996.6002807617188,138.4249267578125,4377.85009765625,842.766845703125,2273.293701171875,1014.3401489257812,686.178466796875,2102.059814453125,604.376953125,683.0877685546875,1693.7012939453125,683.5469360351562,341.5732116699219,7289.04541015625,453.6048889160156,874.1668090820312,118.86764526367188,3331.974609375,1365.3182373046875,225.4625244140625,282.5025634765625
2022-03-25,4625.5771484375,718.2510986328125,3306.175048828125,981.58837890625,137.4646759033203,4338.40234375,849.1822509765625,2241.827880859375,1003.4912109375,680.5897216796875,2072.64892578125,605.1057739257812,678.2861328125,1684.5899658203125,689.5211791992188,343.1872863769531,7152.5615234375,456.9573059082031,867.914794921875,117.84668731689453,3294.29931640625,1332.2418212890625,225.13356018066406,279.1710510253906
2022-03-28,4601.2802734375,732.939697265625,3336.392333984375,985.074951171875,141.26878356933594,4301.77880859375,834.3849487304688,2283.222900390625,990.3877563476562,681.493408203125,2072.2568359375,612.393798828125,689.0533447265625,1682.2108154296875,697.8850708007812,343.775146484375,7212.26708984375,463.28973388671875,871.3294067382812,117.84668731689453,3294.52197265625,1326.93212890625,226.6963653564453,277.71356201171875
