entry_date,exit_date,stock_a,stock_b,direction,entry_z,exit_z,entry_spread,exit_spread,holding_days,entry_price_a,entry_price_b,exit_price_a,exit_price_b,gross_trade_return,net_trade_return,exit_reason,test_start,test_end
2022-12-22,2023-01-06,HCLTECH,TCS,LONG_SPREAD,-2.6219057905426726,-0.22681347866939147,-560.3965295262904,-526.6506333056423,12,918.1177368164062,2931.220458984375,912.5513305664062,2887.922607421875,0.0012984464057157353,-0.0007015535942842648,MEAN_REVERSION_EXIT,2022-07-12,2023-01-11
2022-11-11,2022-12-08,JSWSTEEL,TATASTEEL,LONG_SPREAD,-2.0941943012867443,2.4675105100107984,-346.3833050632072,90.6639158188965,20,708.51123046875,99.76712036132812,733.83642578125,103.75594329833984,-0.21209599514029182,-0.21409599514029182,TIME_STOP,2022-07-12,2023-01-11
2022-12-09,2023-01-05,JSWSTEEL,TATASTEEL,SHORT_SPREAD,2.105307287722604,1.8542076602897166,105.54420565794408,443.71976608354305,20,729.5990600585938,102.45726013183594,739.7489013671875,108.11583709716795,0.13730860534869782,0.13530860534869782,TIME_STOP,2022-07-12,2023-01-11
2023-01-02,2023-01-10,HCLTECH,WIPRO,LONG_SPREAD,-2.4611359682143106,-0.1007109679361362,-308.2941270714239,-240.36691806284387,7,918.427001953125,183.37892150878903,939.9859619140624,183.37892150878903,0.02347378715465709,0.021473787154657087,MEAN_REVERSION_EXIT,2022-10-13,2023-04-18
2023-01-16,2023-01-20,HCLTECH,WIPRO,SHORT_SPREAD,2.212401940896033,0.07330861868424492,3.626128202083123,-187.64847382715982,5,966.360595703125,185.9683074951172,987.6759033203124,188.09112548828125,0.049271225649269876,0.047271225649269874,MEAN_REVERSION_EXIT,2022-10-13,2023-04-18
2023-01-25,2023-02-15,HCLTECH,WIPRO,LONG_SPREAD,-2.0129076891886513,-0.47420470055525793,-585.4682469736626,-828.3389903863208,15,1001.0048828125,187.8060607910156,1010.0542602539062,190.54214477539065,-0.13152146749755825,-0.13352146749755825,MEAN_REVERSION_EXIT,2022-10-13,2023-04-18
2023-02-23,2023-03-23,HCLTECH,WIPRO,SHORT_SPREAD,2.44801477239786,1.2422191354121286,-287.1694187508708,599.9565828374782,20,975.6842651367188,184.2515411376953,950.3192749023438,169.0745849609375,-0.14469483452337076,-0.14669483452337076,TIME_STOP,2022-10-13,2023-04-18
2023-01-11,2023-01-24,HDFCBANK,KOTAKBANK,LONG_SPREAD,-2.0206413451986855,0.27821594629784113,683.9053644221573,772.7728421013849,10,765.48974609375,359.26507568359375,815.8199462890625,350.9705505371094,0.06858073606787668,0.06658073606787668,MEAN_REVERSION_EXIT,2022-10-13,2023-04-18
2023-02-22,2023-03-22,HDFCBANK,KOTAKBANK,LONG_SPREAD,-2.531494994627133,-0.8172678839923238,686.0603983367564,-1.053877023962741,20,776.700927734375,339.06719970703125,758.22412109375,339.984375,-0.029829824682083426,-0.031829824682083424,TIME_STOP,2022-10-13,2023-04-18
2022-12-22,2023-01-18,ICICIBANK,SBIN,LONG_SPREAD,-2.790678407311662,-1.4088150026323691,250.75108169743157,-6.125173228929384,20,869.1324462890625,561.2191162109375,848.493408203125,559.3748779296875,-0.018726131545888248,-0.020726131545888246,TIME_STOP,2022-10-13,2023-04-18
2023-02-01,2023-02-28,ICICIBANK,SBIN,SHORT_SPREAD,2.1134191847325483,0.9082419989460364,406.08565874714515,689.7655357669739,20,827.4640502929688,498.75103759765625,834.1973266601562,494.4478454589844,-0.01065752593655318,-0.01265752593655318,TIME_STOP,2022-10-13,2023-04-18
2023-03-14,2023-03-24,ICICIBANK,SBIN,LONG_SPREAD,-2.3650096461037142,-0.14608354003567667,595.1898500769132,596.7338657463758,9,810.2892456054688,496.9068603515625,831.8065185546875,477.9441528320313,0.045324448399596054,0.04332444839959605,MEAN_REVERSION_EXIT,2022-10-13,2023-04-18
2023-04-27,2023-05-18,TCS,WIPRO,SHORT_SPREAD,2.342820299743668,0.4887055160215525,1103.4377592097842,1488.01214212424,15,2931.862060546875,175.10794067382812,2942.805419921875,178.943115234375,0.17432711661528486,0.17232711661528485,MEAN_REVERSION_EXIT,2023-01-12,2023-07-18
2023-05-26,2023-06-01,TCS,WIPRO,LONG_SPREAD,-2.1735245504246308,-0.4277468303696234,1179.7501987862747,1329.518157031668,5,3061.4892578125,187.8762664794922,3056.98291015625,190.4252166748047,-0.12454817066675346,-0.12654817066675345,MEAN_REVERSION_EXIT,2023-01-12,2023-07-18
2023-06-07,2023-06-26,TCS,WIPRO,SHORT_SPREAD,2.117589527346694,0.2548736613710583,1781.0130360244602,1902.0253798616507,14,3011.8271484375,188.3907012939453,2955.24169921875,178.1480255126953,-0.3026453023859237,-0.3046453023859237,MEAN_REVERSION_EXIT,2023-01-12,2023-07-18
2023-07-14,2023-07-17,TCS,WIPRO,LONG_SPREAD,-2.7100504495066757,-3.772752900764945,1740.6722674381658,1052.547380465715,2,3256.356689453125,189.4430389404297,3235.09326171875,194.213623046875,-0.28952341057851205,-0.29152341057851205,ZSCORE_STOP,2023-01-12,2023-07-18
2023-07-18,2023-08-07,TECHM,WIPRO,LONG_SPREAD,-2.4350066089476576,-0.4734301305830846,64.73236639659967,-254.92665083572206,15,1137.4232177734375,195.12564086914065,1107.4478759765625,192.2960205078125,0.07638638724638364,0.07438638724638363,MEAN_REVERSION_EXIT,2023-04-19,2023-10-18
2023-08-23,2023-09-05,TECHM,WIPRO,LONG_SPREAD,-2.208324060348888,0.0024604714703160505,-658.6686023214265,-649.147408512423,10,1123.6807861328125,194.213623046875,1173.783447265625,201.9774932861328,-0.3162114072048994,-0.3182114072048994,MEAN_REVERSION_EXIT,2023-04-19,2023-10-18
2023-09-13,2023-10-12,TECHM,WIPRO,SHORT_SPREAD,2.0120622029932327,1.1988388928055211,-78.0831077093435,396.95518512061983,20,1179.256591796875,203.7781524658203,1121.57568359375,195.0788726806641,-0.10965889561678963,-0.11165889561678963,TIME_STOP,2023-04-19,2023-10-18
2023-07-20,2023-08-17,HINDALCO,TATASTEEL,LONG_SPREAD,-2.0972459290062884,-0.924441013192409,156.43731499361587,-51.93260245271654,20,433.0096435546875,112.0277099609375,441.8087463378906,111.16558837890624,0.0545008110882858,0.0525008110882858,TIME_STOP,2023-04-19,2023-10-18
2023-08-31,2023-09-20,HINDALCO,TATASTEEL,SHORT_SPREAD,2.0514918515728464,0.38709563854749374,106.2466534452015,145.65794499474828,14,453.9002685546875,117.72727966308594,472.1115112304687,122.9000015258789,0.0765892517230479,0.0745892517230479,MEAN_REVERSION_EXIT,2023-04-19,2023-10-18
2023-07-19,2023-08-16,HINDALCO,JSWSTEEL,LONG_SPREAD,-2.314876026008762,-1.0844004513739367,222.49583378541698,-230.0619164343832,20,430.7051086425781,783.6347045898438,439.4397888183594,786.9992065429688,0.01662750289926722,0.014627502899267219,TIME_STOP,2023-04-19,2023-10-18
2023-06-27,2023-07-05,TATASTEEL,VEDL,LONG_SPREAD,-2.0273104892174896,-0.2880128467581552,10.870340687749817,38.77403008580683,6,106.08866119384766,227.40884399414065,108.19606018066406,225.7005157470703,0.022175128390869735,0.020175128390869733,MEAN_REVERSION_EXIT,2023-04-19,2023-10-18
2023-07-17,2023-08-11,TATASTEEL,VEDL,LONG_SPREAD,-2.2305945627877777,0.5865906189702592,-87.32003851054782,132.05419890685977,20,112.79403686523438,230.90679931640625,115.23670959472656,193.7713623046875,0.007698038770167708,0.005698038770167708,TIME_STOP,2023-04-19,2023-10-18
2023-09-13,2023-09-18,TATASTEEL,VEDL,SHORT_SPREAD,2.9806630464851978,-3.648297471615252,133.63004481310165,47.5943784901517,4,124.0973892211914,189.78530883789065,124.95950317382812,192.3884735107422,-0.0014313173031687788,-0.003431317303168779,ZSCORE_STOP,2023-04-19,2023-10-18
2023-09-20,2023-09-25,TATASTEEL,VEDL,LONG_SPREAD,-2.0658857694979833,-0.40426374092273676,67.82253643486217,98.54540309573107,4,122.9000015258789,188.56509399414065,122.03787994384766,182.66734313964844,-0.0029923497026826265,-0.004992349702682627,MEAN_REVERSION_EXIT,2023-04-19,2023-10-18
2024-08-14,2024-08-23,HCLTECH,TCS,SHORT_SPREAD,2.0100621586512233,-0.05951727931944424,360.518113063388,249.56047883865926,7,1545.1898193359375,4066.832763671875,1578.732177734375,4226.513671875,-0.009359629546514637,-0.011359629546514637,MEAN_REVERSION_EXIT,2024-04-29,2024-10-29
2024-08-28,2024-09-19,HCLTECH,TCS,LONG_SPREAD,-2.0123544784445464,-0.3769931210457621,51.1995569260273,-332.98242407424436,17,1633.8446044921875,4266.42138671875,1650.0458984375,4067.68408203125,0.03262502102016837,0.03062502102016837,MEAN_REVERSION_EXIT,2024-04-29,2024-10-29
2024-09-23,2024-10-21,HCLTECH,TCS,SHORT_SPREAD,2.4780437359061,1.057136252921203,372.24824799030694,2292.0189236957767,20,1665.534423828125,4041.5048828125,1751.813720703125,3872.31103515625,-0.04596253961451329,-0.04796253961451329,TIME_STOP,2024-04-29,2024-10-29
2024-11-14,2024-11-28,HINDALCO,JSWSTEEL,LONG_SPREAD,-2.052478898905756,-0.2844624379107665,-249.23026715900198,-212.32178708937818,9,622.7827758789062,936.528076171875,645.51611328125,951.5875244140624,0.022006950327153624,0.020006950327153626,MEAN_REVERSION_EXIT,2024-07-31,2025-01-29
2024-12-03,2024-12-18,HINDALCO,JSWSTEEL,SHORT_SPREAD,2.6580403381397293,0.2605324670273354,217.35029661477114,131.21164749497422,12,662.6901245117188,996.1176147460938,628.3916625976562,944.30712890625,0.024371744739562152,0.022371744739562154,MEAN_REVERSION_EXIT,2024-07-31,2025-01-29
